platform,source,date,post_time,day_of_week,is_weekend,content_type,hashtags,likes,comments,shares,views,engagement_rate,engagement_level
Instagram,sentiment_dataset,2023-02-01,13.0,2.0,0,, #BikeRide #ScenicTrails                ,35,,18,,,
Twitter,sentiment_dataset,2023-02-11,9.0,5.0,1,, #Injustice #Angry                            ,40,,20,,,
Instagram,sentiment_dataset,2023-02-11,21.0,5.0,1,, #Fear #ThrillerMovie                         ,30,,15,,,
Facebook,sentiment_dataset,2023-02-12,14.0,6.0,1,, #Sadness #NaturalDisaster                    ,50,,25,,,
Twitter,sentiment_dataset,2023-02-12,18.0,6.0,1,, #Disgust #Environment                        ,35,,18,,,
Instagram,sentiment_dataset,2023-02-13,10.0,0.0,0,, #Happiness #Celebration                   ,60,,30,,,
Facebook,sentiment_dataset,2023-02-13,19.0,0.0,0,, #Joy #ComedyShow                             ,45,,22,,,
Twitter,sentiment_dataset,2023-02-14,8.0,1.0,0,, #Love #SpreadLove                            ,30,,15,,,
Instagram,sentiment_dataset,2023-02-14,14.0,1.0,0,, #Amusement #FunTimes                         ,35,,18,,,
Facebook,sentiment_dataset,2023-02-14,19.0,1.0,0,, #Enjoyment #BookTime                         ,50,,25,,,
Twitter,sentiment_dataset,2023-02-15,11.0,2.0,0,, #Admiration #Nature                         ,40,,20,,,
Instagram,sentiment_dataset,2023-02-15,16.0,2.0,0,, #Affection #PositiveVibes                   ,30,,15,,,
Facebook,sentiment_dataset,2023-02-15,20.0,2.0,0,, #Awe #Breathtaking                          ,45,,22,,,
Twitter,sentiment_dataset,2023-02-16,9.0,3.0,0,, #Disappointed #BadService                   ,35,,18,,,
Instagram,sentiment_dataset,2023-02-16,14.0,3.0,0,, #Surprise #Gift                              ,50,,25,,,
Facebook,sentiment_dataset,2023-02-16,18.0,3.0,0,, #Acceptance #Challenges                     ,30,,15,,,
Twitter,sentiment_dataset,2023-02-17,10.0,4.0,0,, #Adoration #PetLove                         ,45,,22,,,
Instagram,sentiment_dataset,2023-02-17,7.0,4.0,0,, #Anticipation #Adventure                    ,40,,20,,,
Facebook,sentiment_dataset,2023-02-17,15.0,4.0,0,, #BitterLesson #Growth                      ,35,,18,,,
Twitter,sentiment_dataset,2023-02-18,9.0,5.0,1,, #Calmness #PeacefulMind                    ,30,,15,,,
Instagram,sentiment_dataset,2023-02-18,14.0,5.0,1,, #Confusion #DecisionMaking                 ,50,,25,,,
Facebook,sentiment_dataset,2023-02-18,18.0,5.0,1,, #Excitement #TravelPlans                   ,45,,22,,,
Twitter,sentiment_dataset,2023-02-19,11.0,6.0,1,, #Kindness #Humanity                        ,40,,20,,,
Instagram,sentiment_dataset,2023-02-19,16.0,6.0,1,, #Pride #Milestone                           ,60,,30,,,
Facebook,sentiment_dataset,2023-02-19,19.0,6.0,1,, #Shame #Injustice                           ,30,,15,,,
Twitter,sentiment_dataset,2023-02-20,9.0,0.0,0,, #Anger #Argument                             ,40,,20,,,
Instagram,sentiment_dataset,2023-02-20,21.0,0.0,0,, #Fear #Unknown                               ,30,,15,,,
Facebook,sentiment_dataset,2023-02-21,14.0,1.0,0,, #Sadness #Farewell                          ,50,,25,,,
Twitter,sentiment_dataset,2023-02-21,18.0,1.0,0,, #Disgust #Corruption                         ,35,,18,,,
Instagram,sentiment_dataset,2023-02-22,10.0,2.0,0,, #Happiness #NewFamilyMember                 ,60,,30,,,
Facebook,sentiment_dataset,2023-02-22,19.0,2.0,0,, #Joy #StandUpComedy                         ,45,,22,,,
Twitter,sentiment_dataset,2023-02-23,8.0,3.0,0,, #Love #SpreadLove                            ,30,,15,,,
Instagram,sentiment_dataset,2023-02-23,14.0,3.0,0,, #Amusement #PetAntics                       ,35,,18,,,
Facebook,sentiment_dataset,2023-02-23,19.0,3.0,0,, #Enjoyment #Travel                           ,50,,25,,,
Twitter,sentiment_dataset,2023-02-24,11.0,4.0,0,, #Admiration #Volunteers                     ,40,,20,,,
Instagram,sentiment_dataset,2023-02-24,16.0,4.0,0,, #Affection #FamilyLove                      ,30,,15,,,
Facebook,sentiment_dataset,2023-02-24,20.0,4.0,0,, #Awe #StarryNight                        ,45,,22,,,
Twitter,sentiment_dataset,2023-02-25,9.0,5.0,1,, #Disappointed #Project                     ,35,,18,,,
Instagram,sentiment_dataset,2023-02-25,14.0,5.0,1,, #Surprise #OldFriends                       ,50,,25,,,
Facebook,sentiment_dataset,2023-02-25,18.0,5.0,1,, #Acceptance #LifeJourney                   ,30,,15,,,
Twitter,sentiment_dataset,2023-02-26,10.0,6.0,1,, #Adoration #PuppyLove                       ,45,,22,,,
Instagram,sentiment_dataset,2023-02-26,7.0,6.0,1,, #Anticipation #MovieRelease                 ,40,,20,,,
Facebook,sentiment_dataset,2023-02-26,15.0,6.0,1,, #BitterExperience #CustomerService         ,35,,18,,,
Twitter,sentiment_dataset,2023-02-27,9.0,0.0,0,, #Calmness #InnerPeace                      ,30,,15,,,
Instagram,sentiment_dataset,2023-02-27,14.0,0.0,0,, #Confusion #MakingSense                    ,50,,25,,,
Facebook,sentiment_dataset,2023-02-27,18.0,0.0,0,, #Excitement #SurpriseParty                 ,45,,22,,,
Twitter,sentiment_dataset,2023-02-28,11.0,1.0,0,, #Kindness #ActsOfKindness                  ,40,,20,,,
Instagram,sentiment_dataset,2023-02-28,16.0,1.0,0,, #Pride #FitnessChallengeCompleted          ,60,,30,,,
Facebook,sentiment_dataset,2023-02-28,19.0,1.0,0,, #Shame #Injustice                           ,30,,15,,,
Twitter,sentiment_dataset,2023-03-01,10.0,2.0,0,, #Acceptance #Diversity                      ,45,,22,,,
Instagram,sentiment_dataset,2023-03-01,13.0,2.0,0,, #Excitement #BookTime                       ,35,,18,,,
Twitter,sentiment_dataset,2023-03-01,17.0,2.0,0,, #Bitter #Unfairness                         ,30,,15,,,
Facebook,sentiment_dataset,2023-03-02,18.0,3.0,0,, #Calmness #Mindfulness                      ,30,,15,,,
Instagram,sentiment_dataset,2023-03-02,13.0,3.0,0,, #Confusion #LifeChoices                     ,60,,30,,,
Twitter,sentiment_dataset,2023-03-02,16.0,3.0,0,, #Excitement #WeekendAdventure               ,50,,25,,,
Facebook,sentiment_dataset,2023-03-03,11.0,4.0,0,, #Kindness #HumanityRestored                 ,45,,22,,,
Instagram,sentiment_dataset,2023-03-03,14.0,4.0,0,, #Pride #Accomplishments                     ,25,,12,,,
Twitter,sentiment_dataset,2023-03-03,12.0,4.0,0,, #Shame #Integrity                           ,30,,15,,,
Twitter,sentiment_dataset,2010-05-15,15.0,5.0,1,, #Elation #Memories                             ,40,,20,,,
Instagram,sentiment_dataset,2021-08-10,21.0,1.0,0,, #Euphoria #Victory                             ,30,,15,,,
Facebook,sentiment_dataset,2011-06-20,14.0,0.0,0,, #Contentment #Nature                           ,50,,25,,,
Twitter,sentiment_dataset,2022-02-12,18.0,5.0,1,, #Serenity #Meditation                          ,35,,18,,,
Instagram,sentiment_dataset,2012-11-25,10.0,6.0,1,, #Gratitude #Blessed                            ,60,,30,,,
Facebook,sentiment_dataset,2013-04-05,19.0,4.0,0,, #Hope #Optimism                                ,45,,22,,,
Twitter,sentiment_dataset,2014-09-14,8.0,6.0,1,, #Empowerment #Community                        ,30,,15,,,
Instagram,sentiment_dataset,2015-07-18,14.0,5.0,1,, #Compassion #CharityEvent                   ,35,,18,,,
Facebook,sentiment_dataset,2016-02-23,19.0,1.0,0,, #Tenderness #FamilyTime                       ,50,,25,,,
Twitter,sentiment_dataset,2017-10-30,11.0,0.0,0,, #Arousal #Excitement                           ,40,,20,,,
Instagram,sentiment_dataset,2018-06-15,16.0,4.0,0,, #Enthusiasm #NewProject                       ,30,,15,,,
Facebook,sentiment_dataset,2019-03-28,18.0,3.0,0,, #Fulfillment #Milestone                       ,45,,22,,,
Twitter,sentiment_dataset,2019-11-11,15.0,0.0,0,, #Reverence #History                           ,35,,18,,,
Instagram,sentiment_dataset,2020-04-02,9.0,3.0,0,, #Elation #OldFriends                          ,50,,25,,,
Facebook,sentiment_dataset,2021-06-19,14.0,5.0,1,, #Euphoria #LiveMusic                          ,30,,15,,,
Twitter,sentiment_dataset,2010-08-15,10.0,6.0,1,, #Contentment #SundayMood                      ,60,,30,,,
Instagram,sentiment_dataset,2011-09-22,19.0,3.0,0,, #Serenity #BookTime                           ,45,,22,,,
Facebook,sentiment_dataset,2012-03-10,8.0,5.0,1,, #Gratitude #Supportive                        ,30,,15,,,
Twitter,sentiment_dataset,2013-12-05,16.0,3.0,0,, #Hope #NewBeginnings                          ,35,,18,,,
Instagram,sentiment_dataset,2014-07-20,11.0,6.0,1,, #Empowerment #PersonalGrowth                  ,50,,25,,,
Facebook,sentiment_dataset,2015-12-22,14.0,1.0,0,, #Compassion #HolidaySupport                   ,35,,18,,,
Twitter,sentiment_dataset,2016-02-10,19.0,2.0,0,, #Tenderness #CozyEvening                     ,50,,25,,,
Instagram,sentiment_dataset,2017-04-30,11.0,6.0,1,, #Arousal #AdventureTime                       ,40,,20,,,
Facebook,sentiment_dataset,2018-09-15,16.0,5.0,1,, #Enthusiasm #Creativity                       ,30,,15,,,
Twitter,sentiment_dataset,2019-06-28,18.0,4.0,0,, #Fulfillment #FitnessGoals                   ,45,,22,,,
Instagram,sentiment_dataset,2020-11-11,15.0,2.0,0,, #Reverence #ArtAppreciation                  ,35,,18,,,
Facebook,sentiment_dataset,2021-03-02,9.0,1.0,0,, #Elation #PersonalAchievement                ,50,,25,,,
Twitter,sentiment_dataset,2012-02-18,14.0,5.0,1,, #Elation #HiddenGem                            ,40,,20,,,
Instagram,sentiment_dataset,2018-11-05,21.0,0.0,0,, #Euphoria #BirthdaySurprise                   ,30,,15,,,
Facebook,sentiment_dataset,2015-09-12,13.0,5.0,1,, #Contentment #HomeCooking                     ,50,,25,,,
Twitter,sentiment_dataset,2016-07-30,18.0,5.0,1,, #Serenity #PeacefulMelody                    ,35,,18,,,
Instagram,sentiment_dataset,2013-04-20,10.0,5.0,1,, #Gratitude #CommunitySupport                   ,60,,30,,,
Facebook,sentiment_dataset,2017-12-08,19.0,4.0,0,, #Hope #BusinessVenture                        ,45,,22,,,
Twitter,sentiment_dataset,2014-06-03,8.0,1.0,0,, #Empowerment #Mentorship                      ,30,,15,,,
Instagram,sentiment_dataset,2019-01-15,14.0,1.0,0,, #Compassion #CommunityKindness               ,35,,18,,,
Facebook,sentiment_dataset,2016-12-25,19.0,6.0,1,, #Tenderness #LoveNote                         ,50,,25,,,
Twitter,sentiment_dataset,2018-03-10,9.0,5.0,1,, #Arousal #TravelAdventure                     ,40,,20,,,
Instagram,sentiment_dataset,2020-09-17,16.0,3.0,0,, #Enthusiasm #ArtisticProject                 ,30,,15,,,
Facebook,sentiment_dataset,2011-08-28,18.0,6.0,1,, #Fulfillment #HelpingOthers                  ,45,,22,,,
Twitter,sentiment_dataset,2017-11-01,15.0,2.0,0,, #Reverence #HistoricalSite                   ,35,,18,,,
Instagram,sentiment_dataset,2019-06-15,10.0,5.0,1,, #Elation #FitnessMilestone                   ,50,,25,,,
Facebook,sentiment_dataset,2022-04-03,11.0,6.0,1,, #Euphoria #ProductLaunchSuccess              ,30,,15,,,
Twitter,sentiment_dataset,2010-11-12,20.0,4.0,0,, #Contentment #Love                             ,60,,30,,,
Instagram,sentiment_dataset,2011-07-22,18.0,4.0,0,, #Serenity #SunsetViews                       ,45,,22,,,
Facebook,sentiment_dataset,2012-03-30,11.0,4.0,0,, #Gratitude #SmallJoys                        ,30,,15,,,
Twitter,sentiment_dataset,2013-10-05,16.0,5.0,1,, #Hope #PersonalDevelopment                    ,35,,18,,,
Instagram,sentiment_dataset,2014-07-10,13.0,3.0,0,, #Empowerment #SkillBuilding                   ,50,,25,,,
Facebook,sentiment_dataset,2015-12-18,14.0,4.0,0,, #Compassion #VolunteerWork                   ,35,,18,,,
Twitter,sentiment_dataset,2016-02-10,19.0,2.0,0,, #Tenderness #PetLove                          ,50,,25,,,
Instagram,sentiment_dataset,2017-09-25,11.0,0.0,0,, #Arousal #FestivalExcitement               ,40,,20,,,
Facebook,sentiment_dataset,2018-04-15,16.0,6.0,1,, #Enthusiasm #HomeImprovement                 ,30,,15,,,
Twitter,sentiment_dataset,2019-11-28,18.0,3.0,0,, #Fulfillment #PuzzleChallenge                ,45,,22,,,
Instagram,sentiment_dataset,2020-05-11,15.0,0.0,0,, #Reverence #NatureExploration                ,35,,18,,,
Facebook,sentiment_dataset,2021-02-05,9.0,4.0,0,, #Elation #FriendshipReunion                  ,50,,25,,,
Twitter,sentiment_dataset,2021-03-10,8.0,2.0,0,, #Despair #Struggle                              ,10,,5,,,
Instagram,sentiment_dataset,2022-07-05,15.0,1.0,0,, #Grief #Loss                                   ,15,,8,,,
Facebook,sentiment_dataset,2019-11-18,21.0,0.0,0,, #Loneliness #Isolation                         ,20,,10,,,
Twitter,sentiment_dataset,2020-08-12,11.0,2.0,0,, #Jealousy #Envy                               ,25,,12,,,
Instagram,sentiment_dataset,2018-05-22,14.0,1.0,0,, #Resentment #Bitterness                       ,15,,7,,,
Facebook,sentiment_dataset,2017-01-30,16.0,0.0,0,, #Frustration #Obstacles                       ,20,,10,,,
Twitter,sentiment_dataset,2016-09-28,19.0,2.0,0,, #Boredom #LackOfInterest                     ,15,,8,,,
Instagram,sentiment_dataset,2019-04-15,9.0,0.0,0,, #Anxiety #Worry                               ,25,,12,,,
Facebook,sentiment_dataset,2021-12-03,18.0,4.0,0,, #Intimidation #Fear                           ,30,,15,,,
Twitter,sentiment_dataset,2020-06-20,14.0,5.0,1,, #Helplessness #Overwhelmed                    ,15,,8,,,
Instagram,sentiment_dataset,2018-11-07,11.0,2.0,0,, #Envy #Desire                                ,20,,10,,,
Facebook,sentiment_dataset,2017-08-25,16.0,4.0,0,, #Regret #MissedChances                       ,25,,12,,,
Twitter,sentiment_dataset,2019-02-11,9.0,0.0,0,, #Disgust #Injustice                          ,15,,7,,,
Instagram,sentiment_dataset,2016-04-02,20.0,5.0,1,, #Despair #Hopeless                           ,20,,10,,,
Facebook,sentiment_dataset,2015-10-18,15.0,6.0,1,, #Grief #Tears                                ,25,,12,,,
Twitter,sentiment_dataset,2019-07-12,18.0,4.0,0,, #Loneliness #SeekingConnection              ,30,,15,,,
Instagram,sentiment_dataset,2018-06-03,16.0,6.0,1,, #Jealousy #Insecurity                       ,15,,8,,,
Facebook,sentiment_dataset,2022-01-15,12.0,5.0,1,, #Resentment #BrokenTrust                     ,20,,10,,,
Twitter,sentiment_dataset,2017-04-10,14.0,0.0,0,, #Frustration #EmotionalOutburst             ,25,,12,,,
Instagram,sentiment_dataset,2016-11-28,19.0,0.0,0,, #Boredom #Monotony                          ,15,,7,,,
Facebook,sentiment_dataset,2018-09-05,9.0,2.0,0,, #Anxiety #Restlessness                      ,20,,10,,,
Twitter,sentiment_dataset,2021-10-22,18.0,4.0,0,, #Intimidation #FacingFear                   ,30,,15,,,
Instagram,sentiment_dataset,2019-05-08,14.0,2.0,0,, #Helplessness #Struggling                   ,15,,8,,,
Facebook,sentiment_dataset,2017-03-20,11.0,0.0,0,, #Envy #Success                              ,20,,10,,,
Twitter,sentiment_dataset,2018-12-15,16.0,5.0,1,, #Regret #PastChoices                        ,25,,12,,,
Instagram,sentiment_dataset,2016-07-01,9.0,4.0,0,, #Disgust #Corruption                        ,15,,7,,,
Facebook,sentiment_dataset,2020-08-20,20.0,3.0,0,, #Despair #DarkDays                          ,20,,10,,,
Twitter,sentiment_dataset,2021-02-25,15.0,3.0,0,, #Grief #EmotionalStorm                      ,25,,12,,,
Instagram,sentiment_dataset,2019-09-12,18.0,3.0,0,, #Loneliness #YearningForConnection         ,30,,15,,,
Facebook,sentiment_dataset,2018-08-05,16.0,6.0,1,, #Jealousy #Resentment                       ,15,,8,,,
Twitter,sentiment_dataset,2017-01-12,12.0,3.0,0,, #Resentment #Unforgiving                    ,20,,10,,,
Instagram,sentiment_dataset,2022-04-05,14.0,1.0,0,, #Frustration #EmotionalOutburst            ,25,,12,,,
Facebook,sentiment_dataset,2021-10-02,19.0,5.0,1,, #Boredom #Stagnation                        ,15,,7,,,
Twitter,sentiment_dataset,2023-04-15,10.0,5.0,1,, #Curiosity #Learning                        ,30,,15,,,
Instagram,sentiment_dataset,2022-11-28,17.0,0.0,0,, #Indifference #DigitalOverload              ,15,,7,,,
Facebook,sentiment_dataset,2020-04-02,9.0,3.0,0,, #Confusion #LifePuzzle                     ,20,,10,,,
Twitter,sentiment_dataset,2021-08-10,14.0,1.0,0,, #Numbness #EmotionalShield                 ,15,,8,,,
Instagram,sentiment_dataset,2019-06-18,20.0,1.0,0,, #Melancholy #SunsetMoments                 ,25,,12,,,
Facebook,sentiment_dataset,2018-02-05,15.0,0.0,0,, #Nostalgia #MemoryLane                     ,20,,10,,,
Twitter,sentiment_dataset,2022-05-30,11.0,0.0,0,, #Ambivalence #UncertainChoices             ,25,,12,,,
Instagram,sentiment_dataset,2023-01-10,16.0,1.0,0,, #Acceptance #LifeJourney                   ,30,,15,,,
Facebook,sentiment_dataset,2020-09-18,13.0,4.0,0,, #Determination #AchieveTheImpossible       ,20,,10,,,
Twitter,sentiment_dataset,2021-07-03,19.0,5.0,1,, #Serenity #NatureRetreat                   ,25,,12,,,
Instagram,sentiment_dataset,2022-10-08,8.0,5.0,1,, #Curiosity #KnowledgeQuest                ,40,,20,,,
Facebook,sentiment_dataset,2023-03-22,16.0,2.0,0,, #Indifference #FloatingThroughLife        ,20,,10,,,
Twitter,sentiment_dataset,2021-05-15,11.0,5.0,1,, #Confusion #ThoughtLabyrinth              ,30,,15,,,
Instagram,sentiment_dataset,2019-12-28,14.0,5.0,1,, #Numbness #StoicFacade                    ,15,,8,,,
Facebook,sentiment_dataset,2020-03-01,19.0,6.0,1,, #Melancholy #WhispersInTheBreeze         ,25,,12,,,
Twitter,sentiment_dataset,2018-07-10,15.0,1.0,0,, #Nostalgia #JournalMoments               ,20,,10,,,
Instagram,sentiment_dataset,2022-01-05,10.0,2.0,0,, #Ambivalence #ConflictingFeelings        ,25,,12,,,
Facebook,sentiment_dataset,2021-08-20,16.0,4.0,0,, #Acceptance #SelfLoveJourney              ,30,,15,,,
Twitter,sentiment_dataset,2019-11-03,13.0,6.0,1,, #Determination #DreamsIntoReality        ,35,,18,,,
Instagram,sentiment_dataset,2020-04-12,19.0,6.0,1,, #Serenity #OceanRetreat                   ,50,,25,,,
Facebook,sentiment_dataset,2022-04-15,8.0,4.0,0,, #Curiosity #NewHorizons                  ,45,,22,,,
Twitter,sentiment_dataset,2023-02-10,17.0,4.0,0,, #Indifference #DriftingThroughLife       ,18,,9,,,
Instagram,sentiment_dataset,2020-08-05,12.0,2.0,0,, #Confusion #PerplexedMind                ,28,,14,,,
Facebook,sentiment_dataset,2021-12-01,15.0,2.0,0,, #Numbness #EmotionalShield               ,20,,10,,,
Twitter,sentiment_dataset,2019-03-25,21.0,0.0,0,, #Melancholy #WistfulHeart                ,26,,13,,,
Instagram,sentiment_dataset,2017-06-18,14.0,6.0,1,, #Nostalgia #YearbookMemories            ,25,,12,,,
Facebook,sentiment_dataset,2022-07-08,11.0,4.0,0,, #Ambivalence #ShadesOfUncertainty       ,30,,15,,,
Twitter,sentiment_dataset,2023-05-15,16.0,0.0,0,, #Acceptance #ImperfectJourney            ,36,,18,,,
Instagram,sentiment_dataset,2021-09-10,14.0,4.0,0,, #Determination #UnparalleledHeights      ,40,,20,,,
Facebook,sentiment_dataset,2020-02-28,18.0,4.0,0,, #Serenity #NatureWhispers                ,50,,25,,,
Instagram,sentiment_dataset,2023-03-10,16.0,4.0,0,, #Indifference #SilentObserver            ,18,,9,,,
Facebook,sentiment_dataset,2021-05-02,11.0,6.0,1,, #Confusion #ThoughtLabyrinth              ,28,,14,,,
Twitter,sentiment_dataset,2019-10-18,14.0,4.0,0,, #Numbness #StoicResilience               ,22,,11,,,
Instagram,sentiment_dataset,2020-01-05,20.0,6.0,1,, #Melancholy #BittersweetMemories         ,26,,13,,,
Facebook,sentiment_dataset,2018-08-10,15.0,4.0,0,, #Nostalgia #DiaryJourney                 ,25,,12,,,
Twitter,sentiment_dataset,2022-01-15,10.0,5.0,1,, #Ambivalence #ConflictingEmotions        ,30,,15,,,
Instagram,sentiment_dataset,2021-07-20,16.0,1.0,0,, #Acceptance #BeautifulChaos              ,36,,18,,,
Facebook,sentiment_dataset,2019-12-03,13.0,1.0,0,, #Determination #ExtraordinaryPath        ,40,,20,,,
Twitter,sentiment_dataset,2020-04-12,19.0,6.0,1,, #Serenity #RaindropMelody                ,50,,25,,,
Instagram,sentiment_dataset,2022-05-08,8.0,6.0,1,, #Curiosity #SeekerOfKnowledge            ,45,,22,,,
Facebook,sentiment_dataset,2023-02-22,17.0,2.0,0,, #Indifference #DriftingThroughLife       ,18,,9,,,
Twitter,sentiment_dataset,2020-06-05,12.0,4.0,0,, #Confusion #LabyrinthOfThoughts          ,28,,14,,,
Instagram,sentiment_dataset,2021-11-30,15.0,1.0,0,, #Numbness #EmotionalStorms               ,20,,10,,,
Facebook,sentiment_dataset,2019-02-25,21.0,0.0,0,, #Melancholy #WistfulYearning             ,26,,13,,,
Twitter,sentiment_dataset,2017-05-18,14.0,3.0,0,, #Nostalgia #PhotoAlbumStories            ,25,,12,,,
Instagram,sentiment_dataset,2022-08-05,11.0,4.0,0,, #Ambivalence #CrossroadsConfusion        ,30,,15,,,
Facebook,sentiment_dataset,2023-06-15,16.0,3.0,0,, #Acceptance #UnpredictableArt            ,36,,18,,,
Twitter,sentiment_dataset,2021-10-10,14.0,6.0,1,, #Determination #SculptingDreams          ,40,,20,,,
Instagram,sentiment_dataset,2020-05-12,19.0,1.0,0,, #Serenity #MoonlitPeace                  ,50,,25,,,
Facebook,sentiment_dataset,2022-12-01,9.0,3.0,0,, #Curiosity #FearlessExplorer              ,44,,22,,,
Instagram,sentiment_dataset,2021-11-30,15.0,1.0,0,, #Numbness #EmotionalStorms ,20,,10,,,
Twitter,sentiment_dataset,2018-07-12,17.0,3.0,0,, #Zest #CarefreeSpirit ,30,,15,,,
